Date,Typedejour,Energie,Tmax
01/01/2013,3,38174.24668,15
02/01/2013,4,43539.90451,16
03/01/2013,5,45033.46215,16
04/01/2013,6,44853.20335,17
05/01/2013,7,42462.31984,17
06/01/2013,1,38418.98597,18
07/01/2013,2,43674.91684,18
08/01/2013,3,43862.02689,19
09/01/2013,4,44420.52323,18
10/01/2013,5,44622.84605,17
11/01/2013,6,44446.11244,18
12/01/2013,7,41711.44594,18
13/01/2013,1,37723.90339,20
14/01/2013,2,38586.76009,15
15/01/2013,3,44107.23811,15
16/01/2013,4,45533.70538,16
17/01/2013,5,46451.63759,15
18/01/2013,6,46276.18967,15
19/01/2013,7,42174.56812,23
20/01/2013,1,39452.08458,18
21/01/2013,2,43668.91499,17
22/01/2013,3,44297.97212,16
23/01/2013,4,44345.65415,18
24/01/2013,5,39953.87731,13
25/01/2013,6,45337.05427,13
26/01/2013,7,42868.75674,16
27/01/2013,1,39868.07511,15
28/01/2013,2,45877.34454,15
29/01/2013,3,45894.83881,15
30/01/2013,4,44544.91041,19
31/01/2013,5,43975.83948,19
01/02/2013,6,43545.19948,22
02/02/2013,7,41095.52448,22
03/02/2013,1,39356.17626,13
04/02/2013,2,44806.57173,14
05/02/2013,3,46013.64053,15
06/02/2013,4,45475.93181,18
07/02/2013,5,46741.31938,12
08/02/2013,6,40904.53902,13
09/02/2013,7,43518.60669,11
10/02/2013,1,41607.15832,11
11/02/2013,2,46427.65691,18
12/02/2013,3,48300.37194,12
13/02/2013,4,49190.9335,12
14/02/2013,5,48183.52184,14
15/02/2013,6,47629.57233,16
16/02/2013,7,43906.07625,16
17/02/2013,1,40459.19374,16
18/02/2013,2,45806.87508,16
19/02/2013,3,45724.3392,16
20/02/2013,4,46049.26026,16
21/02/2013,5,46474.56648,15
22/02/2013,6,45677.77216,20
23/02/2013,7,42880.79993,20
24/02/2013,1,41209.40781,11
25/02/2013,2,45472.6101,15
26/02/2013,3,46458.57178,15
27/02/2013,4,46713.67936,15
28/02/2013,5,47289.61215,15
01/03/2013,6,47309.55546,15
02/03/2013,7,43689.28269,15
03/03/2013,1,39544.26342,17
04/03/2013,2,43622.57302,19
05/03/2013,3,45387.8592,17
06/03/2013,4,42939.5391,25
07/03/2013,5,42335.22703,23
08/03/2013,6,42309.07521,25
09/03/2013,7,40116.42771,22
10/03/2013,1,36650.23579,24
11/03/2013,2,41219.0534,20
12/03/2013,3,41977.76289,20
13/03/2013,4,43404.35865,19
14/03/2013,5,43740.1772,13
15/03/2013,6,44985.82299,13
16/03/2013,7,41596.70216,16
17/03/2013,1,36965.04417,24
18/03/2013,2,41591.59235,24
19/03/2013,3,42174.81333,21
20/03/2013,4,38282.72084,23
21/03/2013,5,41281.62215,19
22/03/2013,6,41984.16737,25
23/03/2013,7,39483.51597,25
24/03/2013,1,36501.30839,22
25/03/2013,2,41789.9217,17
26/03/2013,3,42427.34235,22
27/03/2013,4,42856.0025,24
28/03/2013,5,43012.42477,23
29/03/2013,6,42488.90352,22
30/03/2013,7,40644.95408,25
31/03/2013,1,42665.5,23
01/04/2013,2,41984.95806,25
02/04/2013,3,42298.19854,19
03/04/2013,4,42302.20155,23
04/04/2013,5,42605.91833,28
05/04/2013,6,42842.89368,23
06/04/2013,7,40810.38662,21
07/04/2013,1,35686.57001,18
08/04/2013,2,40521.51547,23
09/04/2013,3,40731.77268,24
10/04/2013,4,42461.26214,25
11/04/2013,5,42628.68959,26
12/04/2013,6,43146.49087,29
13/04/2013,7,41341.62316,23
14/04/2013,1,37383.66555,22
15/04/2013,2,42833.90486,26
16/04/2013,3,43408.93822,24
17/04/2013,4,43443.20839,23
18/04/2013,5,43472.53043,24
19/04/2013,6,43634.40509,27
20/04/2013,7,40843.95344,22
21/04/2013,1,37268.7756,18
22/04/2013,2,41454.82595,21
23/04/2013,3,43117.11075,18
24/04/2013,4,40996.95527,20
25/04/2013,5,40372.4437,21
26/04/2013,6,40286.80777,26
27/04/2013,7,39261.69423,23
28/04/2013,1,36482.5536,25
29/04/2013,2,41248.49747,25
30/04/2013,3,42028.87674,23
01/05/2013,4,37830.9034,20
02/05/2013,5,42139.52843,23
03/05/2013,6,43084.7511,26
04/05/2013,7,41513.99376,23
05/05/2013,1,38525.47462,21
06/05/2013,2,42411.12186,25
07/05/2013,3,43458.33996,27
08/05/2013,4,43871.79141,29
09/05/2013,5,44527.08243,26
10/05/2013,6,45089.19012,30
11/05/2013,7,43398.03963,27
12/05/2013,1,38532.21581,25
13/05/2013,2,43241.8037,24
14/05/2013,3,44479.75106,26
15/05/2013,4,44648.07655,25
16/05/2013,5,44467.15795,25
17/05/2013,6,44111.12371,26
18/05/2013,7,42703.6115,27
19/05/2013,1,38675.11587,26
20/05/2013,2,43695.64758,27
21/05/2013,3,44469.90892,28
22/05/2013,4,43459.67863,26
23/05/2013,5,43873.27895,25
24/05/2013,6,44916.79997,28
25/05/2013,7,43120.84611,24
26/05/2013,1,38423.90233,25
27/05/2013,2,43702.69776,29
28/05/2013,3,45239.80278,24
29/05/2013,4,45561.80495,28
30/05/2013,5,44981.3696,24
31/05/2013,6,44821.2196,25
01/06/2013,7,37037.43507,25
02/06/2013,1,42999.5,27
03/06/2013,2,44582.06467,27
04/06/2013,3,45983.48437,28
05/06/2013,4,46016.1768,26
06/06/2013,5,46431.84614,26
07/06/2013,6,46038.40269,27
08/06/2013,7,43815.45442,30
09/06/2013,1,40509.3785,26
10/06/2013,2,45553.55375,28
11/06/2013,3,46395.16547,28
12/06/2013,4,47598.87572,30
13/06/2013,5,47911.98332,29
14/06/2013,6,48230.28037,29
15/06/2013,7,46500.79195,32
16/06/2013,1,44115.36966,34
17/06/2013,2,51259.42235,34
18/06/2013,3,53559.85266,35
19/06/2013,4,53854.3542,32
20/06/2013,5,53665.91968,29
21/06/2013,6,53234.38273,30
22/06/2013,7,50110.41635,30
23/06/2013,1,44716.77168,31
24/06/2013,2,50386.80215,29
25/06/2013,3,50254.2,28
26/06/2013,4,50460.9334,28
27/06/2013,5,50565.44583,26
28/06/2013,6,50499.10235,29
29/06/2013,7,47394.20805,27
30/06/2013,1,43858.76806,29
01/07/2013,2,50322.53811,31
02/07/2013,3,52914.6492,32
03/07/2013,4,54468.72353,35
04/07/2013,5,53564.12655,32
05/07/2013,6,52079.27457,29
06/07/2013,7,50118.82455,32
07/07/2013,1,46341.31731,32
08/07/2013,2,54157.08243,30
09/07/2013,3,55038.37079,31
10/07/2013,4,54239.55031,32
11/07/2013,5,54940.32602,33
12/07/2013,6,57381.44356,35
13/07/2013,7,56784.07425,34
14/07/2013,1,52616.26172,33
15/07/2013,2,58211.32952,33
16/07/2013,3,58575.17539,32
17/07/2013,4,58818.37964,32
18/07/2013,5,58549.0370899999,35
19/07/2013,6,59070.29832,35
20/07/2013,7,58320.78197,36
21/07/2013,1,54803.25211,35
22/07/2013,2,60898.7413,32
23/07/2013,3,60110.92718,32
24/07/2013,4,60214.08398,33
25/07/2013,5,57371.79189,36
26/07/2013,6,57952.19166,36
27/07/2013,7,59937.60517,36
28/07/2013,1,56767.06405,39
29/07/2013,2,63621.75586,41
30/07/2013,3,62777.32801,34
31/07/2013,4,59192.63463,32
01/08/2013,5,58623.85208,32
02/08/2013,6,59312.82064,34
03/08/2013,7,58083.9312,33
04/08/2013,1,54924.10155,35
05/08/2013,2,58936.68149,36
06/08/2013,3,59627.92704,38
07/08/2013,4,58989.45618,41
08/08/2013,5,52535.57495,42
09/08/2013,6,49418.05569,32
10/08/2013,7,46845.05488,31
11/08/2013,1,47058.14604,33
12/08/2013,2,52790.46879,32
13/08/2013,3,54701.49181,34
14/08/2013,4,57075.6569,32
15/08/2013,5,54650.20302,33
16/08/2013,6,54874.24724,31
17/08/2013,7,54074.71293,33
18/08/2013,1,51310.83668,34
19/08/2013,2,55112.24601,33
20/08/2013,3,56354.11626,32
21/08/2013,4,54509.01069,30
22/08/2013,5,53650.10654,31
23/08/2013,6,54596.04839,33
24/08/2013,7,55104.43204,34
25/08/2013,1,52555.62437,34
26/08/2013,2,60587.67807,39
